Raw Skill,Mapped Standard Code,Mapped Description,Match Score
LCM,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.1281
accountability,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2046
activism,1.RL.3,"Describe characters, settings, and major events in a story",0.1143
adaptability,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2711
adaptation,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2088
addition,1.OA.3,Apply properties of operations as strategies to add and subtract,0.5445
advocacy,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1237
algebra,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3502
algebraic thinking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4093
algorithm use,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3603
alignment,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2309
analysis,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2425
angle types,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.161
answering questions,K.RL.1,Ask and answer questions about key details in a text,0.4241
apologies,K.RL.1,Ask and answer questions about key details in a text,0.0643
application,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.1749
applied math,1.OA.3,Apply properties of operations as strategies to add and subtract,0.4009
appreciation,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1628
argument writing,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3084
argumentation,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2919
arrays,K.CC.1,Count to 100 by ones and by tens,0.2328
artifacts,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1677
asking for help,K.RL.1,Ask and answer questions about key details in a text,0.3089
assertiveness,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2273
associative,1.OA.3,Apply properties of operations as strategies to add and subtract,0.4538
astronomy,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2226
author purpose,1.RL.3,"Describe characters, settings, and major events in a story",0.2622
awareness,1.RL.3,"Describe characters, settings, and major events in a story",0.2024
basic operations,1.OA.3,Apply properties of operations as strategies to add and subtract,0.6888
beginning-middle-end,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1966
biography,1.RL.3,"Describe characters, settings, and major events in a story",0.3433
biology,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2082
blending,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2144
boundaries,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1991
boundary setting,1.RL.3,"Describe characters, settings, and major events in a story",0.1456
branches,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1153
breathing,1.RL.3,"Describe characters, settings, and major events in a story",0.1435
building,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.1854
calming strategies,1.OA.3,Apply properties of operations as strategies to add and subtract,0.0987
captions,1.RL.3,"Describe characters, settings, and major events in a story",0.3119
caring responses,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.17
categorization,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3526
categorizing,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3679
cause and effect,1.RL.3,"Describe characters, settings, and major events in a story",0.2453
cause/effect,1.RL.3,"Describe characters, settings, and major events in a story",0.2461
celebration,1.RL.3,"Describe characters, settings, and major events in a story",0.1776
change,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1523
character analysis,1.RL.3,"Describe characters, settings, and major events in a story",0.4958
character development,1.RL.3,"Describe characters, settings, and major events in a story",0.484
character identification,1.RL.3,"Describe characters, settings, and major events in a story",0.3343
character strengths,1.RL.3,"Describe characters, settings, and major events in a story",0.3597
chemistry,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2342
choice-making,1.RL.3,"Describe characters, settings, and major events in a story",0.1799
circuitry,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2675
citation,K.RL.1,Ask and answer questions about key details in a text,0.1274
citations,K.RL.1,Ask and answer questions about key details in a text,0.2247
citing,K.RL.1,Ask and answer questions about key details in a text,0.21
civic awareness,1.RL.3,"Describe characters, settings, and major events in a story",0.102
civic engagement,1.RL.3,"Describe characters, settings, and major events in a story",0.1227
civic literacy,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3333
civic safety,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.094
civic values,K.RL.1,Ask and answer questions about key details in a text,0.1467
civics,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.1013
claims,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.146
clarity,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3989
classification,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3064
coin identification,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.2064
collaboration,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1905
communication,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3051
community,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1214
commutative,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2426
comparison,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1622
comparisons,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2264
compassion,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.1178
composition,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2662
comprehension,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.6075
compromise,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1271
concentration,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2175
confidence,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2613
conflict recognition,1.RL.3,"Describe characters, settings, and major events in a story",0.2716
conflict resolution,1.RL.3,"Describe characters, settings, and major events in a story",0.2095
consequences,1.RL.3,"Describe characters, settings, and major events in a story",0.1847
conservation,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1855
constraints,1.OA.3,Apply properties of operations as strategies to add and subtract,0.265
content,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2836
context clues,1.RL.3,"Describe characters, settings, and major events in a story",0.3736
control variables,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2606
conversion,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.35
cooperation,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1945
coordinate plane,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1735
coping skills,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2559
counting,K.CC.1,Count to 100 by ones and by tens,0.4929
courage,1.RL.3,"Describe characters, settings, and major events in a story",0.2119
creative expression,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3052
creativity,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3537
critical thinking,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2766
cross-text analysis,K.RL.1,Ask and answer questions about key details in a text,0.2471
cultural context,1.RL.3,"Describe characters, settings, and major events in a story",0.2367
cultural understanding,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2863
culture,1.RL.3,"Describe characters, settings, and major events in a story",0.2016
curiosity,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2255
cycles,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1773
data,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3221
data analysis,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2581
data collection,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2247
data representation,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4308
data tracking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2625
data visualization,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3538
decimals,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.5028
decision making,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2202
decision-making,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2301
decoding,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3167
deeper thinking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2817
demonstration,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2492
descriptive comprehension,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.6161
design,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3493
design thinking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3442
detail evaluation,1.RL.3,"Describe characters, settings, and major events in a story",0.329
detail recognition,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3508
detail selection,1.RL.3,"Describe characters, settings, and major events in a story",0.3321
details,1.RL.3,"Describe characters, settings, and major events in a story",0.3474
diagrams,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4612
dialogue,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3607
digit value,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.6415
digital citizenship,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1775
diplomacy,1.RL.3,"Describe characters, settings, and major events in a story",0.1672
discussion,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2102
distributive properties,1.OA.3,Apply properties of operations as strategies to add and subtract,0.408
diversity,1.RL.3,"Describe characters, settings, and major events in a story",0.1922
division,1.OA.3,Apply properties of operations as strategies to add and subtract,0.29
documentation,K.RL.1,Ask and answer questions about key details in a text,0.3396
doubles,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.3105
earth science,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1791
ecology,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.1883
economics,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2482
ecosystems,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.1177
editing,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2142
effort,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.152
elapsed time,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1732
electricity,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1638
emotion identification,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.1995
emotion recognition,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2578
emotional awareness,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.167
emotional expression,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2487
emotional labeling,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2812
emotional regulation,1.RL.3,"Describe characters, settings, and major events in a story",0.1462
emotional vocabulary,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2927
empathy,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2244
encouragement,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1138
energy,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1738
energy forms,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1563
energy sources,K.RL.1,Ask and answer questions about key details in a text,0.0837
energy types,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1323
engineering,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2248
engineering thinking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2156
entrepreneurship,1.RL.3,"Describe characters, settings, and major events in a story",0.0757
environmental awareness,1.RL.3,"Describe characters, settings, and major events in a story",0.1372
environmental science,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1553
equations,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3395
equivalence,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1554
erosion,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.094
estimation,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1293
evidence,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2046
evidence gathering,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2485
exchange,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2286
expanded form,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2762
experimentation,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2257
explanation,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.2823
expressions,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3515
fact families,1.RL.3,"Describe characters, settings, and major events in a story",0.2528
fact fluency,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.4932
fact identification,1.RL.3,"Describe characters, settings, and major events in a story",0.2259
